,0,1,2
278,"Built-up Land (Eco. Footprint, gha)","Cropland (Biocapacity, gha)",0.9982228298017771
279,"Birth Rate, Crude (annually per 1000 people)","Birth Rate, Crude (annually per 1000 people)",1.0
280,Major livestock density in agricultural areas (LSU/ha),Use of Phosphate per area of cropland (kg/ha),0.7710171345372282
281,Emissions of CO2eq from Other Sources (gigagrams),"Grazing Land (Eco. Footprint, gha)",0.7632639921738331
282,"Fishing Grounds (Biocapacity, gha)","Grazing Land (Biocapacity, gha)",-0.5505126452494874
283,"Fishing Grounds (Eco. Footprint, gha)",Industrial Production (% Relative to 2015),0.9676349785544773
284,Emissions of CO2eq from Agriculture (gigagrams),"Fishing Grounds (Eco. Footprint, gha)",0.5894482864681635
285,"Birth Rate, Crude (annually per 1000 people)",Emissions of CO2eq from Waste (gigagrams),-0.5921211648010413
286,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)",Total Renewable Water Resources (10^9 m^3/year),0.8677339674853475
287,Emissions of CO2eq from Forests (gigagrams),Use of Phosphate per area of cropland (kg/ha),-0.07946900465209578
288,Use of Phosphate per area of cropland (kg/ha),Use of Phosphate per area of cropland (kg/ha),0.9999999999999999
289,"Cropland (Biocapacity, gha)","Fishing Grounds (Biocapacity, gha)",-0.7122351332877649
290,"Carbon (Eco. Footprint, gha)",Use of Pesticides per area of cropland (kg/ha),0.9242760159692169
291,Food supply (kcal/capita/day),Industrial Production (% Relative to 2015),0.6821996687790562
292,"Fishing Grounds (Biocapacity, gha)",Use of Potash per area of cropland (kg/ha),-0.4159792205441386
293,Food supply (kcal/capita/day),Use of Nitrogen per area of cropland (kg/ha),0.3887356539688836
294,Emissions of CO2eq from Other Sources (gigagrams),Population (1000 persons),0.545109951769838
295,Emissions of CO2eq from Agriculture (gigagrams),Food supply (kcal/capita/day),0.7253429778787106
296,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)",Average Annual Precipitation (mm/year),0.8677339674853475
297,"Built-up Land (Biocapacity, gha)",Emissions of CO2eq from Energy Production (gigagrams),0.591885322595199
298,"Grazing Land (Eco. Footprint, gha)",Use of Nitrogen per area of cropland (kg/ha),0.5639043775968287
299,Population (1000 persons),Total Renewable Water Resources Per Capita (m^3/capita/year),0.8478102912271297
300,"Built-up Land (Eco. Footprint, gha)","Cropland (Eco. Footprint, gha)",0.9982228298017771
301,"Forest Products (Eco. Footprint, gha)",Year,0.9450444292549557
302,Average Annual Precipitation (mm/year),"Total (Biocapacity, gha)",0.8455859795669453
303,"Carbon (Eco. Footprint, gha)",Total Renewable Water Resources (10^9 m^3/year),0.8421104925979073
304,"Total (Biocapacity, gha)",Use of Nitrogen per area of cropland (kg/ha),0.7746122331970743
305,"Fishing Grounds (Eco. Footprint, gha)",Food supply (kcal/capita/day),0.6813862891030753
306,Population (1000 persons),Population (1000 persons),1.0
307,Emissions of CO2eq from Forests (gigagrams),"Total (Biocapacity, gha)",-0.49974963417952994
308,"Carbon (Biocapacity, gha)",Food supply (kcal/capita/day),nan
309,Major livestock density in agricultural areas (LSU/ha),Use of Potash per area of cropland (kg/ha),0.7701402812055584
310,Average Annual Precipitation (mm/year),Use of Pesticides per area of cropland (kg/ha),0.7839796231541019
311,"Built-up Land (Eco. Footprint, gha)","Total (Eco. Footprint, gha)",0.9965823650034177
312,Emissions of CO2eq from Other Sources (gigagrams),Year,0.545109951769838
313,Emissions of CO2eq from Waste (gigagrams),Emissions of CO2eq from Waste (gigagrams),1.0
314,"Total (Biocapacity, gha)",Use of Potash per area of cropland (kg/ha),0.7675097212105491
315,Food supply (kcal/capita/day),"Forest Products (Eco. Footprint, gha)",0.645293596421853
316,"Carbon (Biocapacity, gha)","Fishing Grounds (Eco. Footprint, gha)",nan
317,"Forest Products (Eco. Footprint, gha)","Grazing Land (Biocapacity, gha)",0.6699931647300069
318,Emissions of CO2eq from Land Use Sources (gigagrams),Emissions of CO2eq from Other Sources (gigagrams),0.9228752260397829
319,Average Annual Precipitation (mm/year),Use of Phosphate per area of cropland (kg/ha),0.48882788708185343
320,Average Annual Precipitation (mm/year),"Forest Products (Biocapacity, gha)",-0.6656947740495385
321,Emissions of CO2eq from Land Use Sources (gigagrams),Emissions of CO2eq from Waste (gigagrams),0.8769439421338155
322,"Death Rate, Crude (annually per 1000 people)",Emissions of CO2eq from Transportation (gigagrams),-0.5904702693601462
323,"Fishing Grounds (Eco. Footprint, gha)","Grazing Land (Biocapacity, gha)",0.7302802460697199
324,Industrial Production (% Relative to 2015),Total Emissions of CO2eq (gigagrams),0.6197568080164689
325,"Carbon (Eco. Footprint, gha)","Total (Biocapacity, gha)",0.9887901572112098
326,"Cropland (Eco. Footprint, gha)","Death Rate, Crude (annually per 1000 people)",-0.9973342447026657
327,Emissions of CO2eq from Energy Production (gigagrams),Use of Nitrogen per area of cropland (kg/ha),0.3327008202376446
328,Emissions of CO2eq from Waste (gigagrams),"Fishing Grounds (Eco. Footprint, gha)",0.5900771990170759
329,Average Annual Precipitation (mm/year),Population (1000 persons),0.8478102912271297
330,Emissions of CO2eq from Forests (gigagrams),Use of Nitrogen per area of cropland (kg/ha),-0.08299871932572946
331,"Grazing Land (Eco. Footprint, gha)","Total (Biocapacity, gha)",0.8820915926179085
332,"Built-up Land (Eco. Footprint, gha)",Industrial Production (% Relative to 2015),0.9832386609297151
333,Average Annual Precipitation (mm/year),"Forest Products (Eco. Footprint, gha)",0.8006826879269745
334,"Carbon (Biocapacity, gha)","Fishing Grounds (Biocapacity, gha)",nan
335,Average Annual Precipitation (mm/year),Year,0.8478102912271297
336,Emissions of CO2eq from Land Use Sources (gigagrams),Use of Nitrogen per area of cropland (kg/ha),0.06635863586431347
337,"Forest Products (Biocapacity, gha)",Total Renewable Water Resources (10^9 m^3/year),-0.6656947740495386
338,"Carbon (Biocapacity, gha)",Emissions of CO2eq from Other Sources (gigagrams),nan
339,"Carbon (Biocapacity, gha)",Use of Phosphate per area of cropland (kg/ha),nan
340,"Birth Rate, Crude (annually per 1000 people)",Use of Nitrogen per area of cropland (kg/ha),-0.779259555854924
341,Use of Nitrogen per area of cropland (kg/ha),Use of Pesticides per area of cropland (kg/ha),0.8349658282620595
342,"Built-up Land (Biocapacity, gha)","Built-up Land (Eco. Footprint, gha)",1.0
343,"Carbon (Biocapacity, gha)","Grazing Land (Biocapacity, gha)",nan
344,Average Annual Precipitation (mm/year),Emissions of CO2eq from Other Sources (gigagrams),0.7557982077375334
345,Emissions of CO2eq from Agriculture (gigagrams),Emissions of CO2eq from Land Use Sources (gigagrams),0.8757685352622061
346,"Birth Rate, Crude (annually per 1000 people)",Year,-0.9923444976076556
347,Industrial Production (% Relative to 2015),Population (1000 persons),0.9834453322194533
348,"Grazing Land (Biocapacity, gha)",Total Renewable Water Resources (10^9 m^3/year),0.9146439056417304
349,Emissions of CO2eq from Waste (gigagrams),"Grazing Land (Eco. Footprint, gha)",0.8130266976065281
350,Emissions of CO2eq from Agriculture (gigagrams),"Grazing Land (Eco. Footprint, gha)",0.8116902584400891
351,"Built-up Land (Eco. Footprint, gha)",Food supply (kcal/capita/day),0.6941007603885059
352,"Birth Rate, Crude (annually per 1000 people)","Grazing Land (Eco. Footprint, gha)",-0.8758714969241285
353,"Built-up Land (Biocapacity, gha)",Emissions of CO2eq from Waste (gigagrams),0.5919639366638132
354,Total Renewable Water Resources (10^9 m^3/year),Use of Pesticides per area of cropland (kg/ha),0.7839796231541019
355,Food supply (kcal/capita/day),Total Renewable Water Resources (10^9 m^3/year),0.8355641823766164
356,Average Annual Precipitation (mm/year),Total Emissions of CO2eq (gigagrams),0.8101606766672482
357,"Carbon (Eco. Footprint, gha)",Emissions of CO2eq from Agriculture (gigagrams),0.5905488834287602
358,"Fishing Grounds (Biocapacity, gha)",Use of Nitrogen per area of cropland (kg/ha),-0.3974776152459064
359,"Cropland (Eco. Footprint, gha)",Emissions of CO2eq from Energy Production (gigagrams),0.5904702693601462
360,Emissions of CO2eq from Waste (gigagrams),"Fishing Grounds (Biocapacity, gha)",-0.4451128564927636
361,Use of Nitrogen per area of cropland (kg/ha),Use of Potash per area of cropland (kg/ha),0.9883014623172103
362,Emissions of CO2eq from Other Sources (gigagrams),Use of Nitrogen per area of cropland (kg/ha),0.24829021504246163
363,Emissions of CO2eq from Transportation (gigagrams),Total Emissions of CO2eq (gigagrams),0.9968354430379747
364,Emissions of CO2eq from Other Sources (gigagrams),"Forest Products (Eco. Footprint, gha)",0.4421255218854297
365,Average Annual Precipitation (mm/year),"Total (Eco. Footprint, gha)",0.8460725477426108
366,"Cropland (Eco. Footprint, gha)",Total Renewable Water Resources Per Capita (m^3/capita/year),0.8441957847793302
367,Emissions of CO2eq from Land Use Sources (gigagrams),Food supply (kcal/capita/day),0.6132316526613855
368,"Fishing Grounds (Biocapacity, gha)",Total Emissions of CO2eq (gigagrams),-0.4493580161979224
369,"Grazing Land (Biocapacity, gha)","Total (Biocapacity, gha)",0.7392344497607656
370,"Carbon (Biocapacity, gha)",Emissions of CO2eq from Waste (gigagrams),nan
371,Use of Pesticides per area of cropland (kg/ha),Use of Potash per area of cropland (kg/ha),0.8280684077049553
372,"Carbon (Eco. Footprint, gha)",Emissions of CO2eq from Transportation (gigagrams),0.5908633397032165
373,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)","Total (Eco. Footprint, gha)",0.7716155242106407
374,Average Annual Precipitation (mm/year),"Grazing Land (Biocapacity, gha)",0.9146439056417304
375,"Cropland (Biocapacity, gha)",Food supply (kcal/capita/day),0.6912297507434088
376,Population (1000 persons),Use of Nitrogen per area of cropland (kg/ha),0.779259555854924
377,Emissions of CO2eq from Transportation (gigagrams),"Grazing Land (Biocapacity, gha)",0.8024137983436309
378,"Cropland (Eco. Footprint, gha)",Emissions of CO2eq from Transportation (gigagrams),0.588740759850637
379,"Forest Products (Eco. Footprint, gha)",Industrial Production (% Relative to 2015),0.9463133904964813
380,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)","Carbon (Biocapacity, gha)",nan
381,"Carbon (Eco. Footprint, gha)",Industrial Production (% Relative to 2015),0.9775896456768697
382,"Carbon (Eco. Footprint, gha)","Carbon (Eco. Footprint, gha)",1.0
383,Average Annual Precipitation (mm/year),Industrial Production (% Relative to 2015),0.8627466814608753
384,"Death Rate, Crude (annually per 1000 people)",Use of Pesticides per area of cropland (kg/ha),-0.9259700432516531
385,"Built-up Land (Biocapacity, gha)",Emissions of CO2eq from Transportation (gigagrams),0.5903130412229182
386,Industrial Production (% Relative to 2015),Total Renewable Water Resources (10^9 m^3/year),0.8627466814608753
387,"Death Rate, Crude (annually per 1000 people)",Emissions of CO2eq from Agriculture (gigagrams),-0.5914136381835149
388,Use of Pesticides per area of cropland (kg/ha),Year,0.9259700432516531
389,Emissions of CO2eq from Energy Production (gigagrams),"Forest Products (Biocapacity, gha)",-0.3434648657747941
390,Emissions of CO2eq from Other Sources (gigagrams),"Fishing Grounds (Biocapacity, gha)",-0.4526598070797127
391,Emissions of CO2eq from Transportation (gigagrams),Year,0.5905488834287602
392,Average Annual Precipitation (mm/year),"Cropland (Biocapacity, gha)",0.8441957847793302
393,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)","Total (Biocapacity, gha)",0.7676748438669998
394,Emissions of CO2eq from Land Use Sources (gigagrams),"Total (Biocapacity, gha)",0.4853632596231584
395,Average Annual Precipitation (mm/year),"Birth Rate, Crude (annually per 1000 people)",-0.8455859795669453
396,Emissions of CO2eq from Agriculture (gigagrams),"Forest Products (Biocapacity, gha)",-0.34598051597044377
397,Industrial Production (% Relative to 2015),"Total (Biocapacity, gha)",0.9807241602378997
398,"Carbon (Eco. Footprint, gha)","Forest Products (Eco. Footprint, gha)",0.9395762132604238
399,Use of Nitrogen per area of cropland (kg/ha),Use of Phosphate per area of cropland (kg/ha),0.9896512935883015
400,Average Annual Precipitation (mm/year),Emissions of CO2eq from Agriculture (gigagrams),0.8137581929934793
401,Major livestock density in agricultural areas (LSU/ha),Major livestock density in agricultural areas (LSU/ha),1.0
402,"Fishing Grounds (Eco. Footprint, gha)",Total Renewable Water Resources Per Capita (m^3/capita/year),0.8393996127620578
403,"Death Rate, Crude (annually per 1000 people)",Food supply (kcal/capita/day),-0.6941691177610082
404,"Death Rate, Crude (annually per 1000 people)",Emissions of CO2eq from Forests (gigagrams),0.501243301483197
405,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)","Fishing Grounds (Eco. Footprint, gha)",0.7713881772677383
406,Emissions of CO2eq from Agriculture (gigagrams),Emissions of CO2eq from Transportation (gigagrams),0.9971971066907775
407,Emissions of CO2eq from Energy Production (gigagrams),Use of Pesticides per area of cropland (kg/ha),0.6393947344583881
408,Emissions of CO2eq from Forests (gigagrams),Use of Pesticides per area of cropland (kg/ha),-0.5491780688253486
409,"Cropland (Eco. Footprint, gha)",Use of Phosphate per area of cropland (kg/ha),0.7689126865412208
410,"Cropland (Eco. Footprint, gha)",Year,0.9973342447026657
411,"Carbon (Eco. Footprint, gha)",Use of Phosphate per area of cropland (kg/ha),0.7693511132070557
412,Food supply (kcal/capita/day),Total Renewable Water Resources Per Capita (m^3/capita/year),0.8355641823766164
413,"Cropland (Biocapacity, gha)",Emissions of CO2eq from Transportation (gigagrams),0.588740759850637
414,"Fishing Grounds (Biocapacity, gha)",Food supply (kcal/capita/day),-0.680224213770536
415,"Carbon (Biocapacity, gha)",Emissions of CO2eq from Agriculture (gigagrams),nan
416,Major livestock density in agricultural areas (LSU/ha),"Total (Eco. Footprint, gha)",0.9849624060150376
417,Emissions of CO2eq from Waste (gigagrams),Total Renewable Water Resources Per Capita (m^3/capita/year),0.8149573651022229
418,Emissions of CO2eq from Energy Production (gigagrams),Population (1000 persons),0.5920425507324272
419,Emissions of CO2eq from Agriculture (gigagrams),Emissions of CO2eq from Forests (gigagrams),-0.8945750452079566
420,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)","Carbon (Eco. Footprint, gha)",0.778549605969163
421,Emissions of CO2eq from Other Sources (gigagrams),"Grazing Land (Biocapacity, gha)",0.7815810701609072
422,"Grazing Land (Eco. Footprint, gha)",Use of Pesticides per area of cropland (kg/ha),0.8140169358906515
423,"Birth Rate, Crude (annually per 1000 people)",Emissions of CO2eq from Agriculture (gigagrams),-0.5912564100462867
424,Emissions of CO2eq from Transportation (gigagrams),"Total (Eco. Footprint, gha)",0.5909419537718306
425,Emissions of CO2eq from Land Use Sources (gigagrams),"Total (Eco. Footprint, gha)",0.4845771189370178
426,"Cropland (Biocapacity, gha)","Death Rate, Crude (annually per 1000 people)",-0.9973342447026657
427,Major livestock density in agricultural areas (LSU/ha),"Total (Biocapacity, gha)",0.987218045112782
428,"Cropland (Eco. Footprint, gha)",Use of Nitrogen per area of cropland (kg/ha),0.7771551078589165
429,"Cropland (Eco. Footprint, gha)","Forest Products (Eco. Footprint, gha)",0.9457279562542722
430,"Built-up Land (Biocapacity, gha)",Use of Pesticides per area of cropland (kg/ha),0.9258227365314413
431,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)","Cropland (Eco. Footprint, gha)",0.7629384492232003
432,"Grazing Land (Eco. Footprint, gha)",Use of Potash per area of cropland (kg/ha),0.5851242282232372
433,"Built-up Land (Eco. Footprint, gha)",Emissions of CO2eq from Agriculture (gigagrams),0.5913350241149007
434,"Carbon (Eco. Footprint, gha)","Fishing Grounds (Eco. Footprint, gha)",0.9717703349282298
435,"Carbon (Biocapacity, gha)",Emissions of CO2eq from Land Use Sources (gigagrams),nan
436,"Built-up Land (Biocapacity, gha)",Emissions of CO2eq from Agriculture (gigagrams),0.5913350241149007
437,"Fishing Grounds (Biocapacity, gha)",Population (1000 persons),-0.7057416267942584
438,"Forest Products (Biocapacity, gha)","Forest Products (Biocapacity, gha)",1.0
439,"Built-up Land (Biocapacity, gha)",Population (1000 persons),0.9995898838004101
440,"Fishing Grounds (Eco. Footprint, gha)","Total (Biocapacity, gha)",0.9818181818181817
441,Emissions of CO2eq from Other Sources (gigagrams),Emissions of CO2eq from Waste (gigagrams),0.9459312839059675
442,"Cropland (Eco. Footprint, gha)",Industrial Production (% Relative to 2015),0.9817575166865912
443,Emissions of CO2eq from Forests (gigagrams),"Total (Eco. Footprint, gha)",-0.5009288452087407
444,Emissions of CO2eq from Agriculture (gigagrams),Emissions of CO2eq from Other Sources (gigagrams),0.9452983725135624
445,"Carbon (Eco. Footprint, gha)",Year,0.9905673274094328
446,"Carbon (Eco. Footprint, gha)","Death Rate, Crude (annually per 1000 people)",-0.9906356801093644
447,Emissions of CO2eq from Energy Production (gigagrams),"Fishing Grounds (Eco. Footprint, gha)",0.590234427154304
448,"Cropland (Eco. Footprint, gha)",Emissions of CO2eq from Forests (gigagrams),-0.4995924060423018
449,Emissions of CO2eq from Waste (gigagrams),"Total (Eco. Footprint, gha)",0.591728094457971
450,Total Renewable Water Resources (10^9 m^3/year),Total Renewable Water Resources Per Capita (m^3/capita/year),1.0
451,"Cropland (Biocapacity, gha)",Population (1000 persons),0.9973342447026657
452,Emissions of CO2eq from Agriculture (gigagrams),Emissions of CO2eq from Agriculture (gigagrams),1.0
453,Average Annual Precipitation (mm/year),Emissions of CO2eq from Waste (gigagrams),0.814957365102223
454,Emissions of CO2eq from Energy Production (gigagrams),"Grazing Land (Eco. Footprint, gha)",0.813105311675142
455,Use of Phosphate per area of cropland (kg/ha),Year,0.7713678758698961
456,"Built-up Land (Eco. Footprint, gha)",Emissions of CO2eq from Waste (gigagrams),0.5919639366638132
457,Emissions of CO2eq from Other Sources (gigagrams),Use of Pesticides per area of cropland (kg/ha),0.5889919963817135
458,"Death Rate, Crude (annually per 1000 people)",Year,-0.9997949419002051
459,Emissions of CO2eq from Land Use Sources (gigagrams),Use of Pesticides per area of cropland (kg/ha),0.5289322631105161
460,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)",Major livestock density in agricultural areas (LSU/ha),0.7365662038465256
461,"Forest Products (Biocapacity, gha)",Major livestock density in agricultural areas (LSU/ha),-0.8708133971291866
462,"Grazing Land (Eco. Footprint, gha)",Year,0.8844839371155161
463,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)",Use of Potash per area of cropland (kg/ha),0.5568064332671726
464,"Birth Rate, Crude (annually per 1000 people)","Fishing Grounds (Eco. Footprint, gha)",-0.9744360902255639
465,Major livestock density in agricultural areas (LSU/ha),Total Renewable Water Resources (10^9 m^3/year),0.8240379603589097
466,"Carbon (Biocapacity, gha)",Year,nan
467,Emissions of CO2eq from Energy Production (gigagrams),Emissions of CO2eq from Energy Production (gigagrams),1.0
468,Emissions of CO2eq from Other Sources (gigagrams),Emissions of CO2eq from Transportation (gigagrams),0.9475587703435805
469,"Cropland (Biocapacity, gha)",Emissions of CO2eq from Forests (gigagrams),-0.4995924060423018
470,Emissions of CO2eq from Agriculture (gigagrams),Use of Phosphate per area of cropland (kg/ha),0.3312889343681912
471,Emissions of CO2eq from Agriculture (gigagrams),Use of Pesticides per area of cropland (kg/ha),0.6380393667117885
472,"Fishing Grounds (Eco. Footprint, gha)",Use of Nitrogen per area of cropland (kg/ha),0.7720693585352321
473,"Cropland (Biocapacity, gha)",Use of Nitrogen per area of cropland (kg/ha),0.7771551078589165
474,"Built-up Land (Eco. Footprint, gha)",Emissions of CO2eq from Transportation (gigagrams),0.5903130412229182
475,Food supply (kcal/capita/day),"Total (Eco. Footprint, gha)",0.699090848581175
476,"Forest Products (Eco. Footprint, gha)",Total Renewable Water Resources Per Capita (m^3/capita/year),0.8006826879269745
477,"Carbon (Biocapacity, gha)",Use of Nitrogen per area of cropland (kg/ha),nan
478,"Fishing Grounds (Biocapacity, gha)","Fishing Grounds (Eco. Footprint, gha)",-0.735475051264525
479,Emissions of CO2eq from Energy Production (gigagrams),Major livestock density in agricultural areas (LSU/ha),0.5791498434797226
480,"Forest Products (Biocapacity, gha)",Total Renewable Water Resources Per Capita (m^3/capita/year),-0.6656947740495386
481,"Grazing Land (Eco. Footprint, gha)",Industrial Production (% Relative to 2015),0.8907877039868055
482,"Grazing Land (Biocapacity, gha)","Grazing Land (Eco. Footprint, gha)",0.9030075187969926
483,"Forest Products (Biocapacity, gha)","Grazing Land (Eco. Footprint, gha)",-0.711073137388927
484,Food supply (kcal/capita/day),Year,0.6943058325060129
485,Emissions of CO2eq from Forests (gigagrams),"Grazing Land (Biocapacity, gha)",-0.8189227527525819
486,"Grazing Land (Eco. Footprint, gha)",Total Emissions of CO2eq (gigagrams),0.8076809409407724
487,Emissions of CO2eq from Waste (gigagrams),"Forest Products (Eco. Footprint, gha)",0.48245453908443847
488,Food supply (kcal/capita/day),Food supply (kcal/capita/day),1.0
489,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)",Emissions of CO2eq from Agriculture (gigagrams),0.775541183316038
490,"Carbon (Biocapacity, gha)",Population (1000 persons),nan
491,Emissions of CO2eq from Forests (gigagrams),"Fishing Grounds (Eco. Footprint, gha)",-0.4894511911910891
492,"Birth Rate, Crude (annually per 1000 people)","Cropland (Eco. Footprint, gha)",-0.9891319207108682
493,"Carbon (Biocapacity, gha)",Total Renewable Water Resources (10^9 m^3/year),nan
494,Emissions of CO2eq from Other Sources (gigagrams),Total Emissions of CO2eq (gigagrams),0.9531645569620252
495,"Cropland (Eco. Footprint, gha)",Total Emissions of CO2eq (gigagrams),0.588740759850637
496,"Carbon (Biocapacity, gha)","Death Rate, Crude (annually per 1000 people)",nan
497,Emissions of CO2eq from Transportation (gigagrams),"Fishing Grounds (Eco. Footprint, gha)",0.5929859195557958
498,"Death Rate, Crude (annually per 1000 people)",Emissions of CO2eq from Other Sources (gigagrams),-0.5460533205932067
499,"Carbon (Biocapacity, gha)",Industrial Production (% Relative to 2015),nan
500,"Forest Products (Biocapacity, gha)",Total Emissions of CO2eq (gigagrams),-0.337254354354284
501,"Total (Biocapacity, gha)","Total (Eco. Footprint, gha)",0.9955570745044431
502,Emissions of CO2eq from Agriculture (gigagrams),"Grazing Land (Biocapacity, gha)",0.7991120074618407
503,"Birth Rate, Crude (annually per 1000 people)","Carbon (Biocapacity, gha)",nan
504,Major livestock density in agricultural areas (LSU/ha),Population (1000 persons),0.9886534518113466
505,Emissions of CO2eq from Forests (gigagrams),Total Renewable Water Resources (10^9 m^3/year),-0.7553984837012856
506,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)",Total Renewable Water Resources Per Capita (m^3/capita/year),0.8677339674853475
507,"Carbon (Biocapacity, gha)",Major livestock density in agricultural areas (LSU/ha),nan
508,"Carbon (Biocapacity, gha)","Cropland (Biocapacity, gha)",nan
509,Emissions of CO2eq from Energy Production (gigagrams),"Forest Products (Eco. Footprint, gha)",0.4831620657019649
510,Total Renewable Water Resources Per Capita (m^3/capita/year),Use of Potash per area of cropland (kg/ha),0.4883820389542705
511,"Death Rate, Crude (annually per 1000 people)",Emissions of CO2eq from Land Use Sources (gigagrams),-0.48504880334870215
512,"Carbon (Biocapacity, gha)",Emissions of CO2eq from Forests (gigagrams),nan
513,Emissions of CO2eq from Energy Production (gigagrams),Emissions of CO2eq from Waste (gigagrams),0.9999095840867992
514,"Carbon (Biocapacity, gha)","Carbon (Biocapacity, gha)",nan
515,Emissions of CO2eq from Transportation (gigagrams),Total Renewable Water Resources (10^9 m^3/year),0.8177554333559582
516,"Cropland (Biocapacity, gha)","Forest Products (Biocapacity, gha)",-0.8809979494190021
517,Emissions of CO2eq from Other Sources (gigagrams),Emissions of CO2eq from Other Sources (gigagrams),1.0
518,Emissions of CO2eq from Waste (gigagrams),Total Renewable Water Resources (10^9 m^3/year),0.8149573651022229
519,"Cropland (Biocapacity, gha)","Total (Eco. Footprint, gha)",0.9954887218045115
520,"Fishing Grounds (Eco. Footprint, gha)","Forest Products (Eco. Footprint, gha)",0.9473000683527
521,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)","Forest Products (Eco. Footprint, gha)",0.6586619847453138
522,Total Emissions of CO2eq (gigagrams),Use of Potash per area of cropland (kg/ha),0.35155958149391603
523,"Birth Rate, Crude (annually per 1000 people)","Death Rate, Crude (annually per 1000 people)",0.9921394395078605
524,Emissions of CO2eq from Transportation (gigagrams),Population (1000 persons),0.5905488834287602
525,"Carbon (Biocapacity, gha)","Total (Eco. Footprint, gha)",nan
526,Emissions of CO2eq from Other Sources (gigagrams),Total Renewable Water Resources (10^9 m^3/year),0.7557982077375335
527,"Built-up Land (Eco. Footprint, gha)","Fishing Grounds (Biocapacity, gha)",-0.706015037593985
528,"Forest Products (Eco. Footprint, gha)",Population (1000 persons),0.9450444292549557
529,"Built-up Land (Eco. Footprint, gha)",Population (1000 persons),0.9995898838004101
530,Emissions of CO2eq from Transportation (gigagrams),Use of Phosphate per area of cropland (kg/ha),0.3354237429858763
531,"Built-up Land (Biocapacity, gha)",Industrial Production (% Relative to 2015),0.9832386609297151
532,Emissions of CO2eq from Transportation (gigagrams),Use of Potash per area of cropland (kg/ha),0.355593541120926
533,Total Emissions of CO2eq (gigagrams),Year,0.5907061115659883
534,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)","Birth Rate, Crude (annually per 1000 people)",-0.7666138914667886
535,Total Emissions of CO2eq (gigagrams),Total Renewable Water Resources (10^9 m^3/year),0.8101606766672482
536,"Birth Rate, Crude (annually per 1000 people)","Built-up Land (Biocapacity, gha)",-0.9915926179084074
537,"Cropland (Eco. Footprint, gha)",Use of Pesticides per area of cropland (kg/ha),0.9243496693293228
538,Total Renewable Water Resources Per Capita (m^3/capita/year),Total Renewable Water Resources Per Capita (m^3/capita/year),1.0
539,"Birth Rate, Crude (annually per 1000 people)",Emissions of CO2eq from Energy Production (gigagrams),-0.5920425507324272
540,"Death Rate, Crude (annually per 1000 people)",Use of Nitrogen per area of cropland (kg/ha),-0.77908418518859
541,Industrial Production (% Relative to 2015),Industrial Production (% Relative to 2015),1.0
542,Population (1000 persons),Use of Pesticides per area of cropland (kg/ha),0.9259700432516531
543,Emissions of CO2eq from Energy Production (gigagrams),Emissions of CO2eq from Transportation (gigagrams),0.9983725135623869
544,"Grazing Land (Biocapacity, gha)",Industrial Production (% Relative to 2015),0.7522834946472228
545,"Cropland (Biocapacity, gha)",Emissions of CO2eq from Waste (gigagrams),0.5903916552915321
546,"Built-up Land (Eco. Footprint, gha)",Use of Nitrogen per area of cropland (kg/ha),0.77908418518859
547,Emissions of CO2eq from Agriculture (gigagrams),Total Renewable Water Resources Per Capita (m^3/capita/year),0.8137581929934793
548,Total Emissions of CO2eq (gigagrams),Use of Pesticides per area of cropland (kg/ha),0.6389711820375759
549,Emissions of CO2eq from Energy Production (gigagrams),Total Renewable Water Resources Per Capita (m^3/capita/year),0.8149573651022229
550,"Grazing Land (Eco. Footprint, gha)",Population (1000 persons),0.8844839371155161
551,Emissions of CO2eq from Land Use Sources (gigagrams),"Forest Products (Eco. Footprint, gha)",0.3834794266993467
552,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)","Grazing Land (Biocapacity, gha)",0.7944638919723288
553,Total Renewable Water Resources (10^9 m^3/year),Use of Phosphate per area of cropland (kg/ha),0.48882788708185343
554,Emissions of CO2eq from Transportation (gigagrams),Emissions of CO2eq from Waste (gigagrams),0.9981916817359854
555,"Built-up Land (Eco. Footprint, gha)",Use of Phosphate per area of cropland (kg/ha),0.7711925052035622
556,Emissions of CO2eq from Land Use Sources (gigagrams),"Fishing Grounds (Eco. Footprint, gha)",0.48339790790780707
557,"Built-up Land (Eco. Footprint, gha)","Fishing Grounds (Eco. Footprint, gha)",0.9838687628161312
558,"Built-up Land (Eco. Footprint, gha)","Carbon (Biocapacity, gha)",nan
559,"Fishing Grounds (Biocapacity, gha)",Year,-0.7057416267942584
